"OPTZ_PLN_ID","JIG_CODE","OPTZ_JIG_CODE","OPTZ_JIG_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_05","J05D","J05D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06C","J06AJ06BJ06CJ06D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11B","J11B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01D","J01AJ01BJ01CJ01D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09C","J09C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08D","J08AJ08BJ08CJ08D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J07D","J07D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11C","J11C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09A","J09AJ09BJ09CJ09D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11B","J11AJ11BJ11CJ11D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09D","J09D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04D","J04AJ04BJ04CJ04D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J03C","J03C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01B","J01AJ01BJ01CJ01D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02C","J02AJ02BJ02CJ02D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06A","J06AJ06BJ06CJ06D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J05C","J05C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02A","J02A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10C","J10AJ10BJ10CJ10D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J42A","J42A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02A","J02AJ02BJ02CJ02D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J07B","J07AJ07BJ07CJ07D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J07C","J07C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04A","J04A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11D","J11AJ11BJ11CJ11D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J05A","J05A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10A","J10AJ10BJ10CJ10D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J03B","J03B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09D","J09AJ09BJ09CJ09D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04B","J04B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02D","J02AJ02BJ02CJ02D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J05D","J05AJ05BJ05CJ05D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08A","J08A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09A","J09A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02C","J02C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08B","J08AJ08BJ08CJ08D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J42C","J42C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10D","J10AJ10BJ10CJ10D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J03C","J03AJ03BJ03CJ03D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J07B","J07B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01D","J01D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J41D","J41D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J41C","J41AJ41BJ41CJ41D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01A","J01A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J05A","J05AJ05BJ05CJ05D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J41A","J41A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06C","J06C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J07C","J07AJ07BJ07CJ07D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04B","J04AJ04BJ04CJ04D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01A","J01AJ01BJ01CJ01D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08C","J08C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06D","J06D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04A","J04AJ04BJ04CJ04D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11C","J11AJ11BJ11CJ11D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J11A","J11AJ11BJ11CJ11D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10C","J10C","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J01C","J01AJ01BJ01CJ01D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06D","J06AJ06BJ06CJ06D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08D","J08D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J03D","J03AJ03BJ03CJ03D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J06B","J06B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10A","J10A","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J10D","J10D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J04C","J04AJ04BJ04CJ04D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J09B","J09AJ09BJ09CJ09D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08B","J08B","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J03B","J03AJ03BJ03CJ03D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J02D","J02D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J08C","J08AJ08BJ08CJ08D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J42D","J42D","2"
"2539_20250918_3W_C03_NPS_3BAY_05","J41D","J41AJ41BJ41CJ41D","2"
