"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","JIG_CODE","LEAD_TIME","EXEC_PLN_SD","EXEC_PLN_FD","ISS_AVAL_DATE","CROT_DEDL_DATE","CROT_TOLR_DATE","MAX_DLAY_AVAL_DATE","PRIORITY","ADJT_PRIORITY","WORK_ST_DATE","WORK_ST_CLSF","WORK_END_DATE","WORK_END_CLSF","ROTATE_INDC","FIX_BLK_INDC","OPTZ_FIX_TYPE_CLSF","EARL_END_DAYS_DATE","DLAY_END_DAYS_DATE","EARL_END_DAYS_PRD","DLAY_END_DAYS_PRD"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","676","H6G9","J07AJ07B","J07A","5","20251014","20251021","20251013","20251021","20251021","20251021","2","2","20251016","N","20251021","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","676","H6G9","J07AJ07B","J07B","5","20251014","20251021","20251013","20251021","20251021","20251021","2","2","20251016","N","20251021","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J02A","J02A","1","20251016","20251017","20251016","20251017","20251017","20251017","0","0","20251016","B","20251017","N","2","1","6","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06A","J06A","1","20251014","20251015","20251014","20251015","20251015","20251015","0","0","20251014","B","20251015","N","1","1","6","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J11AJ11D","J11D","4","20251016","20251022","20251015","20251022","20251022","20251022","2","2","20251020","A","20251022","N","1","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J08D","J08D","2","20250924","20250926","20250924","20250926","20250926","20250926","0","0","20250924","B","20250926","N","1","1","6","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","J11AJ11D","J11A","4","20251016","20251022","20251015","20251022","20251022","20251022","2","2","20251020","A","20251022","N","1","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","183","G9G9","J06A","J06A","2","20250911","20250916","20250915","20250917","20250918","20250922","1","3","20250911","B","20250912","N","1","1","1","3.0","0.0","6.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10A","J10A","4","20250927","20251001","20250927","20251001","20251001","20251001","0","0","20250927","N","20251001","N","1","1","6","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J41D","J41D","1","20251016","20251017","20251016","20251017","20251017","20251017","0","0","20251016","B","20251017","N","2","1","6","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","844","R1G9","J11B","J11B","4","20250916","20250922","20250915","20250922","20250922","20250922","2","2","20250916","B","20250919","N","1","1","1","3.0","0.0","4.0","0.0"
