"OPTZ_PLN_ID","OPTZ_JIG_CODE","OPTZ_JIG_CLSF","JIG_BDTH","JIG_LNTH","MRGN_BDTH","MRGN_LNTH","MIDL_INDC","IDLE_SD","IDLE_FD"
"2539_20250918_3W_C03_NPS_3BAY_04","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1","35.0","26.5","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J41CJ41DJ06AJ06BJ06CJ06D","1","31.5","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1","35.0","35.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J02AJ02BJ02CJ02DJ01BJ01C","1","22.0","26.5","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J08AJ08BJ08CJ08DJ10AJ10B","1","35.0","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J04B","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J04C","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1","35.0","26.5","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J06AJ06BJ06CJ06DJ05BJ05C","1","23.0","26.5","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1","46.0","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J06AJ06DJ05AJ05BJ05CJ05D","1","23.0","26.5","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1","42.0","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J03C","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J02AJ02BJ02CJ02DJ04AJ04BJ04CJ04D","1","43.0","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J03D","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","1","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J02CJ02DJ04AJ04BJ04CJ04D","1","32.0","17.0","2.0","2.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_04","J07AJ07BJ07CJ07DJ09AJ09B","1","34.0","17.0","2.0","2.0","0",,
