"OPTZ_PLN_ID","WORK_DATE","WORK_CLSF","OPTZ_JIG_CODE","JIG_CODE","PROJ_NO","BLK_NO","WSTG_CODE","WORK_STUS_CODE"
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J01D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251003","B","J06A","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251014","N","J03C","J03C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251020","B","J10B","J10B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250917","N","J08C","J08C","2579","122","G9G9","S"
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J06CJ06DJ08AJ08BJ08CJ08D","J08D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J06AJ06BJ06CJ06DJ08AJ08B","J08B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J42A","J42A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J06AJ06BJ06CJ06DJ08AJ08B","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","J06B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J06CJ06DJ08AJ08BJ08CJ08D","J08C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J06CJ06DJ08AJ08BJ08CJ08D","J08B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","A","J06CJ06DJ08AJ08BJ08CJ08D","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J05D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","N","J10AJ10DJ09AJ09BJ09CJ09D","J09C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250915","N","J09B","J09B","2579","183","R1G9","S"
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","N","J10AJ10DJ09AJ09BJ09CJ09D","J09D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","N","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","J09A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","N","J10AJ10DJ09AJ09BJ09CJ09D","J09A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","N","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","J09C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","N","J10AJ10DJ09AJ09BJ09CJ09D","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","N","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J03A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","A","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","J03C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","N","J05A","J05A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J05B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J05C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J02C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","N","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","J09D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J03D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J02D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J03C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J03B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251009","A","J01C","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251017","A","J06AJ06DJ05AJ05BJ05CJ05D","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J04A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251022","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250919","N","J05CJ05DJ07AJ07BJ07CJ07D","J05D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250919","N","J05CJ05DJ07AJ07BJ07CJ07D","J05C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J01B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251001","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J01C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J05C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","A","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J05B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","A","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","B","J06AJ06DJ05AJ05BJ05CJ05D","J05A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J06A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","B","J06AJ06BJ06CJ06DJ05BJ05C","J06B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","J04C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J04A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J04B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251030","A","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","J41C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","A","J02CJ02DJ04AJ04BJ04CJ04D","J04C","","","",""
