"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","2594","113","G9G9","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1","1","23.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J06D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J06C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J07C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J07B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J07A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1","1","34.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J02AJ02DJ01AJ01BJ01CJ01D","1","1","17.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J02C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G8G9","J08AJ08BJ08CJ08DJ10AJ10B","1","1","21.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J02D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J02A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J02B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J01CJ01DJ03AJ03BJ03CJ03D","1","1","6.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1","1","17.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J07D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J08D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G8G9","J06CJ06DJ08AJ08BJ08CJ08D","1","1","20.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J08C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J08B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J08A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G8G9","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1","1","30.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J06DJ08AJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","35.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J01D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J01B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J01C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J01A","1","0","99999.9","0"
