"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","JIG_CODE","OPTZ_JIG_CODE","FIX_SD","FIX_SD_WORK_CLSF","FIX_FD","FIX_FD_WORK_CLSF","ROTATE_INDC","OPTZ_FIX_TYPE_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J02A","J02A","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06A","J06A","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J08D","J08D","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","183","G9G9","J06A","J06A","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10A","J10A","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J41D","J41D","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","844","R1G9","J11B","J11B","20250916","B","20250919","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","G9G9","J06B","J06B","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J04D","J04D","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J41A","J41A","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01C","J01C","20250910","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J41C","J41C","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J06D","J06D","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J07B","J07B","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J05D","J05D","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","G9G9","J06D","J06D","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08C","J08C","20250920","B","20250923","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","R1G9","J08C","J08C","20250910","B","20250912","N","1","1"
