"OPTZ_PLN_ID","JIG_CODE","OPTZ_JIG_CODE","OPTZ_JIG_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_06","J05D","J05D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J06C","J06AJ06BJ06CJ06D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J03A","J03AJ03D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J03A","J03AJ03B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11C","J10CJ11BJ11C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J04C","J04BJ04C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J06D","J06CJ06D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J07D","J07AJ07D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11C","J11C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J09A","J09AJ09BJ09CJ09D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J41C","J41CJ41D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J05B","J05BJ05C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J09D","J09D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J04D","J04AJ04BJ04CJ04D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J03C","J03C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J01B","J01AJ01BJ01CJ01D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J07C","J07CJ07D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J08D","J08CJ08D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J09D","J09AJ09D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J07B","J07BJ07C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J01A","J01AJ01B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J02A","J02A","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J02A","J02AJ02BJ02CJ02D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J02B","J02AJ02B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J01A","J01AJ01D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J07B","J07AJ07BJ07CJ07D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J07C","J07C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11A","J11AJ11B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11A","J11AJ11D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J02C","J02BJ02C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11D","J11AJ11BJ11CJ11D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J05A","J05AJ05B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J10A","J10AJ10BJ10CJ10D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J05A","J05AJ05D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J03B","J03BJ03C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J04B","J04B","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J11A","J10DJ11AJ11D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J05C","J05CJ05D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J05D","J05AJ05BJ05CJ05D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J41D","J41AJ41D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J02C","J02C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J08B","J08AJ08BJ08CJ08D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J10C","J10CJ11BJ11C","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J10D","J10AJ10BJ10CJ10D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J01D","J01D","3"
"2539_20250918_3W_C03_NPS_3BAY_06","J41B","J41AJ41B","3"
