"OPTZ_PLN_ID","WORK_DATE","WORK_TYPE","WORK_CLSF","WORK_DATE_SEQ","WORK_CLSF_SEQ","WORK_DATE_TYPE"
"2539_20250918_3W_C03_NPS_3BAY_06","20251015","3","B","31.0","59.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251015","3","A","31.0","60.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251015","3","N","31.0","61.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251016","3","B","32.0","62.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251016","3","A","32.0","63.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251016","3","N","32.0","64.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251017","3","B","33.0","65.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251017","3","A","33.0","66.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251017","3","N","33.0","67.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251020","3","B","36.0","68.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251020","3","A","36.0","69.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251020","3","N","36.0","70.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251021","3","B","37.0","71.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251021","3","A","37.0","72.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251021","3","N","37.0","73.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251022","3","B","38.0","74.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251022","3","A","38.0","75.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251022","3","N","38.0","76.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251023","3","B","39.0","77.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251023","3","A","39.0","78.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251023","3","N","39.0","79.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251103","3","N","50.0","100.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251024","3","B","40.0","80.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251024","3","A","40.0","81.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251024","3","N","40.0","82.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251027","3","B","43.0","83.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251027","3","A","43.0","84.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251027","3","N","43.0","85.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251028","3","B","44.0","86.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251028","3","A","44.0","87.0","11"
