"OPTZ_PLN_ID","OPTZ_JIG_CODE","OPTZ_JIG_CLSF","JIG_BDTH","JIG_LNTH","MRGN_BDTH","MRGN_LNTH","MIDL_INDC","IDLE_SD","IDLE_FD"
"2539_20250918_3W_C03_NPS_3BAY_06","J01CJ01D","3","11.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J02CJ02D","3","11.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03AJ03BJ03CJ03D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J41BJ41C","3","21.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04A","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04D","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04B","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04C","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J02AJ02B","3","11.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J02AJ02D","3","22.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J11CJ11D","3","8.5","14.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J05CJ05D","3","11.5","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J41AJ41BJ41CJ41D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J11AJ11BJ11CJ11D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03C","3","8.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J10AJ10D","3","22.0","8.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03D","3","8.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03A","3","8.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03CJ03D","3","8.5","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J03B","3","8.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J01AJ01B","3","11.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J06AJ06BJ06CJ06D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J01AJ01D","3","22.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04CJ04D","3","10.5","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J08CJ08D","3","12.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J07BJ07C","3","23.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J05BJ05C","3","23.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J06B","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J06C","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04AJ04B","3","10.5","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J06A","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J09BJ09C","3","22.0","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J06D","3","10.5","8.5","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J08AJ08B","3","12.0","17.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J10C","3","11.0","8.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J02AJ02BJ02CJ02D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J05AJ05BJ05CJ05D","3","0.0","0.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J10D","3","11.0","8.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J10A","3","11.0","8.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J10B","3","11.0","8.0","0.0","0.0","0",,
"2539_20250918_3W_C03_NPS_3BAY_06","J04AJ04D","3","21.0","8.5","0.0","0.0","0",,
